year,route1,highpoint,route
2000,S Col-SE Ridge,8850,"BC(05/04,5340m),C1(11/04,6100m),C2(17/04,6400m),C3(29/04,7340m),C4(20/05,7950m),Smt(22/05)"
2000,S Col-SE Ridge,8850,"BC(14/09),C1(19/09,6020m),C2(21/09,6500m),C3(27/09,7300m),C4(06/10,7900m),Smt(07,09/10)"
2000,S Col-SE Ridge,8850,"BC(03/09),C1(17/09,6100m),C2(20/09,6400m),C3(25/09,7300m),C4(03/10,7900m),Smt(04-05/10)"
2000,S Col-SE Ridge,8850,"BC(28/08),C1(17/09,6100m),C2(20/09,6400m),C3(25/09,7300m),C4(03/10,7900m),Smt(04/10)"
2001,S Col-SE Ridge,8850,"BC(05/04),C1,C2(13/04,6400m),C3(22/04,7200m),C4(22/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(09/04),C1(16/04),C2(21/04,6500m),C3(22/05,7400m),C4(22/05,7900m),Smt(24/05)"
2001,S Col-SE Ridge,8850,"BC(06/04,5350m),C1(15/04,6100m),C2(18/04,6475m),C3(13/05,7500m),C4(14/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(04/04),C1(12/04,5950m),C2(18/04,6500m),C3(24/04,7500m),C4(23/05,7900m),Smt(24/05)"
2001,S Col-SE Ridge,8850,"BC(07/04,5300m),C1(14/04,6100m),C2(17/04,6400m),C3(23/04,7200m),C4(22/05,7985m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(04/04,5330m),C1(12/04,6035m),C2.ABC(21/04,6550m),C3(02/05,7300m),C4(23/05,8075m),Smt(25/05)"
2001,S Col-SE Ridge,8850,"BC(07/04),C1(18/04,6100m),C2(20/04,6400m),C3(21/04,7350m),C4(22/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(04/04,5350m),C1(11/04,6100m),C2(19/04,6400m),C3(23/04,7300m),C4(23/05,7900m),Smt(25/05)"
2001,S Col-SE Ridge,8850,"BC(01/04),C1(16/04,5800m),C2(17/04,6400m),C3(26/04,7300m),C4(22/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(29/04,5350m),C2(02/05,6400m),C3(03/05,7200m),C4(21/05,7900m),Smt(22/05)"
2001,S Col-SE Ridge,8850,"BC(05/04,5400m),C1(12/04,6100m),C2(13/04,6400m),C3(21/05,7300m),C4(22/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(09/04,5350m),C1(12/04,6000m),C2(13/04,6400m),C3(28/04,7300m),C4(22/05,7950m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(05/04,5350m),C1(10/04,6000m),C2(15/04,6350m),C3(25/04,7250m),C4(30/04,7900m),Smt(22/05)"
2001,S Col-SE Ridge,8850,"BC(10/04,5200m),C1(14/04,5600m),C2(16/04,6300m),C3(24/04,7300m),C4(22/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(03/04,5300m),C1(23/04,6000m),C2(26/04,6250m),C3(01/05,7300m),C4(21/05,7900m),Smt(23-24/05)"
2002,S Col-SE Ridge,8850,"BC(04/04,5380m),C1(11/04,6100m),C2(13/04,6500m),C3(30/04,7300m),C4(14/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(08/04,5350m),C1(14/04,6100m),C2(16/04,6400m),C3(04/05,7350m),C4(15/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(01/04,5400m),C1(11/04,6200m),C2(12/04,6500m),C3(17-18/04,6800m),C4(15/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(10/04,5350m),C1(15/04,6000m),C2(17/04,6450m),C3(06/05,7300m),C4(23/05,7900m),Smt(25/05)"
2002,S Col-SE Ridge,8850,"BC(08/04,5300m),C1(16/04,6000m),C2(20/04,6400m),C3(13/05,7300m),C4(14/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(10/04,5400m),C1(25/04,6270m),C2(22/04,6523,C3(13/05,6800m),C4(14/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(07/04,5300m),C1(13/04,6000m),C2(20/04,6400m),C3(09/05,7200m),C4(15/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(04/04,5500m),C1(13/04,6300m),C2(17/04,6700m),C3(21/04,7300m),C4(07/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(02/04,5350m),C1(11/04,5900m),C2(17/04,6400m),C3(13/05,7300m),C4(14/05,7950m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(07/04,5350m),C1(15/04,6100m),C2(22/04,6400m),C3(26/04,7300m),C4(04/05,7900m),Smt(16,25/05)"
2002,S Col-SE Ridge,8850,"BC(13/04,5350m),C1(19/04,5900m),C2(21/04,6400m),C3(05/05,7200m),C4(23/05,7900m),Smt(25/05)"
2002,S Col-SE Ridge,8850,"BC(05/04,5360m),C1(13/04,6000m),C2(16/04,6350m),C3(07/05,7200m),C4(18/05,7900m),Smt(25/05)"
2002,S Col-SE Ridge,8850,"BC(08/04,5350m),C1(17/04,6100m),C2(19/04,6500m),C3(02/05,7300m),C4(17/05,7900m),Smt(18/05)"
2002,S Col-SE Ridge,8850,"BC(07/04,5360m),C1(14/04,6300m),C2(20/04,21,6700m),C3(22/04,7300m),C4(15/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(04/04,5300m),C1(14/04,6000m),C2(18/04,6400m),C3(06/05,7300m),C4(15/05,7900m),Smt(16/05)"
2003,S Col-SE Ridge,8850,"BC(07/04,5300m),C1(11/04,6050m),C2(15/04,6400m),C3(17/05,7100m),C4(18/05,7950m),C5(20/05),Smt(22/04)"
2003,S Col-SE Ridge,8850,"BC(22/04,5400m),C1(01/05,6000m),C2(10/05,6500m),Smt(22/05)"
2003,S Col-SE Ridge,8850,"BC(01/04),C1(17/04,4511m),C2(10/05,6858m),C3(19/05,7315m),C4(20/05,7900m),Smt(22,26/05)"
2003,S Col-SE Ridge,8850,"BC(02/04,5350m),C1(07/04,5943m),C2(16/04,6492m),C3(18/04,7315m),C4(27/04,7900m),Smt(22,26/05)"
2003,S Col-SE Ridge,8850,"BC(12/04),C1(23/04,6100m),C2(26/04,6400m),C3(23/05,7315m),C4(24/05,7900m),Smt(26/05)"
2003,S Col-SE Ridge,8850,"BC(06/04),C1(15/04,6065m),C2(23/04,24,6249m),C3(07/05,7300m),C4(28/05,7900m),Smt(30/05)"
2003,S Col-SE Ridge,8850,"BC(17/04),C1(23/04,6100m),C2(29/04,6400m),C3(04/05,7300m),C4(20/05,7900m),Smt(22/05)"
2003,S Col-SE Ridge,8850,"BC(02/04,5250m),C1(09/04,5920m),C2(11/04,6400m),C3(21/04,7300m),C4(20/05,7954m),Smt(22/05)"
2003,S Col-SE Ridge,8850,"BC(12/04,5350m),C1(23/04,6100m),C2(25/04,6500m),C3(10/05,7162m),C4(27/05,7900m),Smt(30/05)"
2003,S Col-SE Ridge,8850,"BC(07/04,5300m),C1(11/04,6100m),C2(15/04,6470m),C3(23/04,7150m),C4(20/05,7900m),Smt(22-23/05)"
2003,S Col-SE Ridge,8850,"BC(05/04,5300m),C1(10/04,6000m),C2(17/04,6400m),C3(24/04,7200m),C4(20/05,7940m),Smt(22-23/05)"
2003,S Col-SE Ridge,8850,"BC(01/04,5300m),C1(11/04,5900m),C2(11/04,6400m),C3(24/04,7200m),C4(19/05,7900m),Smt(26/05)"
2003,S Col-SE Ridge,8850,"BC(15/04),C1(19/04,6000m),C2(21/04,6450m),C3(03/05,7200m),C4(20/05,7900m),Smt(26/05)"
2003,S Col-SE Ridge,8850,"BC(22/04,5390m),C1(24/04,6150m),C2(26/04,6500m),C3(02/05,7300m),C4(22/05,7900m),Smt(23/05)"
2003,S Col-SE Ridge,8850,"BC(08/04),C1(17/04,6100m),C2(20/04,6400m),C3(08/05,7300m),C4(15/05,7900m),Smt(23/05)"
2003,S Col-SE Ridge,8850,"BC(09/04,5334m),C1(18/04,6096m),C2(22/04,6400m),C3(08/05,7315m),C4(09/05,7925m),Smt(26/05)"
2003,S Col-SE Ridge,8850,"BC(08/04,5310m),C1(15/04,6100m),C2(26/04,6450m),C3(19/05,7150m),C4(20/05,7980m),Smt(22/05)"
2003,S Col-SE Ridge,8850,"BC(28/03,5300m),C1(10/04,6100m),C2(14/04,6500m),C3(22/04,7300m),C4(20/05,7900m),Smt(30/05)"
2003,S Col-SE Ridge,8850,"BC(03/04,5365m),C1(08/04,6070m),C2(14/04,6460m),C3(27/04,7180m),C4(20/05,7920m),Smt(22/05)"
2003,S Col-SE Ridge,8850,"BC(07/04,5300m),C1(09/04,6000m),C2(17/04,6600m),C3(27/04,7200m),C4(21/05,7900m),Smt(22/05)"
2003,S Col-SE Ridge,8850,"BC(06/04),C1(11/04,6100m),C2(16/04,6400m),C3(22/04,7200m),C4(20/05,7900m),Smt(22/05)"
2003,S Col-SE Ridge,8850,"BC(29/03,5364m),C1(04/04,6000m),C2(18/04,6400m),C3(02/05,7300m),C4(19/05,7900m),Smt(22/05)"
2003,S Col-SE Ridge,8850,"BC(07/04),C1(14/04,6100m),C2(20/04,6400m),C3(23/04,7200m),C4(20/05,7900m),Smt(26/05)"
2003,S Col-SE Ridge,8850,"BC(26/03,5300m),C1(30/03,6100m),C2(08/04,6500m),C3(18/04,7300m),C4(27/04,7680m),Smt(22/05)"
2003,S Col-SE Ridge,8850,"BC(11/04,5350m),C1(19/04,6018m),C2(20/04,6374m),C3(02/05,7120m),C4(21/05,8000m),Smt(22/05)"
2003,S Col-SE Ridge,8850,"BC(08/04,5400m),C1(14/04,6100m),C2(23/04,6300m),C3(03/05,7300m),C4(20/05,7900m),Smt(22/05)"
2004,S Col-SE Ridge,8850,"BC(29/03,5350m),C1(03/04,6000m),C2(09/04,6350m),C3(18/04,7234m),C4(15/05,7900m),Smt(16/05)"
2004,S Col-SE Ridge,8850,"BC(03/04,5464m),C1(20/04,6005m),C2(22/04,6523m),C3(13/05,7315m),C4(14/05,7925m),Smt(16/05)"
2004,S Col-SE Ridge,8850,"BC(10/04),C1(19/04,6100m),C2(20/04,6500m),C3(06/05,7200m),C4(22/05,7900m),Smt(24/05)"
2004,S Col-SE Ridge,8850,"BC(18/04,5360m),C1(25/04,5950m),C2(26/04,6460m),C3(07/05,7150m),C4(15/05,7930m),Smt(16/05)"
2004,S Col-SE Ridge,8850,"BC(05/04),C1(10/04,6100m),C2(14/04,6400m),C3(20/04,7300m),C4(15/05,7900m),Smt(16/05)"
2004,S Col-SE Ridge,8850,"BC(06/04),C1(11/04,6100m),C2(22/04,6300m),C3(7500m),C4(15/05,7900m),Smt(15-16/05)"
2004,S Col-SE Ridge,8850,"BC(05/04,5350m),C1(11/04,6060m),C2(12/04,6511m),C3(25/04,7300m),C4(14/05,7900m),Smt(15/05)"
2004,S Col-SE Ridge,8850,"BC(07/04),C1(11/04,6100m),C2(20/04,6450m),C3(06/05,7350m),C4(16/05,7900m),Smt(17/05)"
2004,S Col-SE Ridge,8850,"Bc(01/04),C1(07/04,6100m,C2(14/04,6450m),C3(18/04,7300m),C4(16/05,7900m),Smt(17/04)"
2004,S Col-SE Ridge,8850,"BC(07/04,5300m),C1(12/04,6100m),C2(16/04,6500m),C3(13/05,7500m),C4(14/05,7950m),Smt(16/05)"
2004,S Col-SE Ridge,8850,"BC(04/04,5300m),C1(12/04,5950m),C2(14/04,6400m),C3(26/04,7300m),C4(16/05,7900m),Smt(17/05)"
2004,S Col-SE Ridge,8850,"BC(04/04,5350m),C1(11/04,6100m),C2(19/04,6400m),C3(05/05,7300m),C4(17/05,7900m),Smt(18/05)"
2004,S Col-SE Ridge,8850,"C1(11/04,6100m),C2(18/04,6470m),C3(28/04,7200m),C4(14/05,7900m),Smt(15,24/05)"
2004,S Col-SE Ridge,8850,"BC(26/03,5350m),C1(10/04,6100m),C2(12/04,6400m),C3(19/04,7300m),C4(14/05,7900m),Smt(16/05)"
2004,S Col-SE Ridge,8850,"BC(10/04),C1(20/04,6100m),C2(25/04,6500m),C3(14/05,7300m),C4(15/05,7900m),Smt(16/05)"
2004,S Col-SE Ridge,8850,"BC(03/04,5364m),C1(20/04,6005m),C2(22/04,6523m),C3(24/04,7315m),C4(14/05,7925m),Smt(16/05)"
2004,S Col-SE Ridge,8850,"BC(16/04,5350m),C1(25/04,6100m),C2(28/05,6450m),C3(07/05,7500m),C4(16/05,7900m),Smt(18/05)"
2004,S Col-SE Ridge,8850,"BC(17/04,5350m),C1(25/04,6100m),C2(28/04,6500m),C3(09/05,7300m),C4(24/05,7900m),Smt(27/05)"
2004,S Col-SE Ridge,8850,"BC(05/04,5350m),C1(08/04,6050m),C2(10/04,6400m),C3(15/05,7300m),C4(16/05,7900m),Smt(17/05)"
2004,S Col-SE Ridge,8850,"BC(02/04),C1(09/04,6000m),C2(15/04,6500m),C3(22/04,7500m),C4(15/05,7900m),Smt(16/05)"
2004,S Col-SE Ridge,8850,"BC(13/04),C1(17/04,6100m),C2(23/04,6430m),C3(05/05,7300m),C4(16/05,7900m),Smt(17/05)"
2004,S Col-SE Ridge,8850,"BC(04/04,5300m),C1(11/04,6100m),C2(20/04,6500m),C3(29/04,7300m),C4(15/05,7900m),Smt(16/04)"
2004,S Col-SE Ridge,8850,"BC(08/04,5300m),C1(16/04,6000m),C2(21/04,6400m),C3(13/05,7300m),C4(22/05,8000m),Smt(24/05)"
2004,S Col-SE Ridge,8850,"BC(04/04,5300m),C1(08/04,6000m),C2(11/04,6500m),C3(20/04,7300m),C4(30/04,7900m),Smt(15/05)"
2004,S Col-SE Ridge,8850,"BC(02/04,5370m),C1(11/04,6100m),C2(14/04,6370m),C3(13/05,7370m),C4(14/05,7900m),Smt(15/05)"
2004,S Col-SE Ridge,8850,"BC(03/04,5350m),C1(10/04,6100m),C2(12/04,6450m),C3(26/04,7400m),C4(16/05,7900m),Smt(17/05)"
2005,S Col-SE Ridge,8850,"BC(03/04),C1(11/04,6100m),C2(19/04,6500m),C3(26/04,7310m),C4(30/05,7900m),Smt(31/05,02/06)"
2005,S Col-SE Ridge,8850,"BC(05-6/04,5400m),C1(12/04,6100m),C2(17/04,6400m),C3(26/04,7200m),C4(20/05,7950m),Smt(30-31/05)"
2005,S Col-SE Ridge,8850,"BC(09/04,5350m),C1(16/04,6000m),C2(18/04,6400m),Smt(30/05)"
2005,S Col-SE Ridge,8850,"BC(06/04,5500m),C1(15/04,6100m),C2(16/04,6450m),C3(19/05,7300m),C4(20/05,8000m),Smt(31/05)"
2005,S Col-SE Ridge,8850,"BC(24/04),C1(28/04,6000m),C2(06/05,6420m),C3(07/05,7300m),C4(29/05,7900m),Smt(30/05)"
2005,S Col-SE Ridge,8850,"BC(05/04,5300m),C1(20/04,5900m),C2(27/04,6400m),C3(20/05,7300m),C4(29/05,7900m),Smt(30/05)"
2005,S Col-SE Ridge,8850,"BC(07/04,5300m),C1(19/04,5900m),C2(25/04,6400m),C3(20/05,7300m),C4(30/05,7920m),Smt(31/05)"
2005,S Col-SE Ridge,8850,"BC(09/04,5500m),C1(15/04,5900m),C2(17/04,6200m),C3(27/04,7100m),C4(21/05,7950m),Smt(30/05)"
2005,S Col-SE Ridge,8850,"BC(02/04),C1(19/04,6100m),C2(20/04,6400m),C3(28/05,7140m),C4(29/05,7900m),Smt(30/05)"
2005,S Col-SE Ridge,8850,"BC(04/05,5350m),C1(13/04,5900m),C2(22/04,6500m),C3(24/04,7200m),C4(29/05,7900m),Smt(30-31/05)"
2005,S Col-SE Ridge,8850,"BC(14/04,5300m),C1(20/05,6000m),C2(25/04,6500m),C3(05/05,7100m),C4(29/05,8000m),Smt(30/05)"
2005,S Col-SE Ridge,8850,"BC(30/03),C1(13/04,6000m),C2(16/04,6400m),C3(28/05,7300m),C4(29/05,7900m),Smt(30/05)"
2005,S Col-SE Ridge,8850,"BC(09/04,5250m),C1(15/04,6100m),C2(20/04,6300m),C3(28/04,7150m),C4(30/05,7950m),Smt(31/05)"
2005,S Col-SE Ridge,8850,"BC(11/04,5500m),C1(14/04,6100m),C2(15/04,6400m),C3(28/04,7300m),C4(01/06,8000m),Smt(02/06)"
2005,S Col-SE Ridge,8850,"BC(09/04,5350m),C1(18/04,6100m),C2(20/04,6500m),C3(01/05,7200m),C4(29/05,7900m),Smt(30/05,02/06)"
2005,S Col-SE Ridge,8850,"BC(11/04),C1(18/04,6085m),C2(19/04,6380m),C3(30/04,7330m),C4(30/05,7900m),Smt(02/06)"
2005,S Col-SE Ridge,8850,"BC(09/04,5350m),C1(15/04,6000m),C2(20/04,6400m),C3(05/05,7350m),C4(29/05,7900m),Smt(30/05)"
2005,S Col-SE Ridge,8850,"BC(16/04,5500m),ABC(23/04,6200m),C1(03/05,7500m),C3(29/05,8000m),Smt(30/05)"
2005,S Col-SE Ridge,8850,"BC(14/04),C1(21/04,5900m),C2(28/04,6450m),C3(04/05,7100m),C4(03/06,7900m),Smt(05/06)"
2005,S Col-SE Ridge,8850,"BC(09/04,5334m),C1(17/04,5883m),C2(18/04,6492m),C3(28/04,7254m),C4(30/05,7925m),Smt(31/05)"
2006,S Col-SE Ridge,8850,"BC(13/04,5300m),C1(24/04,6000m),C2(30/04,6300m),C3(01/05,7000m),C4(22/05,8000m),Smt(23/05)"
2006,S Col-SE Ridge,8850,"BC(10/04,5397m),C1(24/04,6200m),C2(25/04,6600m),C3(04/05,7200m),C4(18/05,7925m),Smt(19/05)"
2006,S Col-SE Ridge,8850,"BC(06/04,5300m),C1(15/04,6000m),C2(16/04,6300m),C3(19/05,7300m),C4(22/05,8000m),Smt(23/05)"
2006,S Col-SE Ridge,8850,"BC(10/04,5300m),C1(24/04,6000m),C2(26/04,6300m),C3(06/05,7300m),C4(22/05,8000m),Smt(23/05)"
2006,S Col-SE Ridge,8850,"BC(12/04),C1(23/04,6100m),C2(25/04,6400m),C3(06/05,7100m),C4(22/05,7900m),Smt(24/05)"
2006,S Col-SE Ridge,8850,"BC(08/04),C1(20/04,6000m),C2(22/04,6400m),C3(02/05,7200m),C4(18/05,7900m),Smt(20/05)"
2006,S Col-SE Ridge,8850,"BC(06/04,5200m),C1(11/04,6000m),C2(19/04,6250m),C3(25/04,7000m),C4(16/04,7950m),Smt(17/05)"
2006,S Col-SE Ridge,8850,"BC(12/04,5350m),C1(21/04,6100m),C2(28/04,6300m),C3(05/05,7380m),C4(17/05,7900m),Smt(18/05)"
2006,S Col-SE Ridge,8850,"BC(13/04,5350m),C1(22/04,6000m),C2(29/04,6350m),C3(03/05,7200m),C4(17/05,7900m),Smt(18,21,24/05)"
2006,S Col-SE Ridge,8850,"BC(16/04,5645m),C1(21/04,6195m),C2(24/04,6665m),C3(02/05,7150m),Smt(19/05)"
2006,S Col-SE Ridge,8850,"BC(03/04,5340m),C1(13/04,6000m),C2(16/04,6550m),C3(03/05,7300m),C4(10/05,7927m),Smt(18-20,23-24/05)"
2006,S Col-SE Ridge,8850,"BC(04/04,5349m),C1(15/04,6000m),C2(16/04,6550m),C3(18/05,7300m),C4(20/05,7950m),Smt(21/05)"
2006,S Col-SE Ridge,8850,"BC(09/04,5350m),C1(18/04,6000m),C2(20/04,6400m),C3(04/05,7400m),C4(7900m,??/05),Smt(19/05)"
2006,S Col-SE Ridge,8850,"BC(07/04,5300m),C1(16/04,6000m),C2(29/04,6300m),C3(03/05,7000m),C4(12/05,8000m),Smt(23/05)"
2006,S Col-SE Ridge,8850,"BC(14/04,5400m),C1(17/04,6100m),C2(25/04,6400m),C3(28/04,7150m),C4(17/05,7950m),Smt(18/05)"
2006,S Col-SE Ridge,8850,"BC(05/04,5400m),C1(23/04,6100m),C2(24/04,6400m),C3(04/05,7200m),C4(17/05,8000m),Smt(18/05)"
2006,S Col-SE Ridge,8850,"BC(13/04,5300m),C1(23/04,6100m),C2(29/04,6400m),C3(03/05,7100m),C4(17/05,7900m),Smt(18/05)"
2006,S Col-SE Ridge,8850,"BC(17/04,5340m),C1(26/04,6000m),C2(27/04,6300m),C3(09/05,7115m),C4(16/05,7900m),Smt(17-18/05)"
2006,S Col-SE Ridge,8850,"BC(03/04,5300m),C1(13/04,6100m),C2(23/04,6400m),C3(05/05,7000m),C4(18/05,7900m),Smt(19/05)"
2006,S Col-SE Ridge,8850,"BC(09/04,5360m),C1(15/04,6100m),C2(21/04,6400m),C3(28/04,7200m),C4(22/05,7950m),Smt(24/05)"
2006,S Col-SE Ridge,8850,"BC(04/04,5349m),C1(13/04,6000m),C2(24/04,6300m),C3(01/05,7200m),C4(12/05,7950m),Smt(17,19/05)"
2006,S Col-SE Ridge,8850,"BC(10/04,5300m),C1(15/04,6000m),C2(16/04,6300m),C3(25/04,7300m),C4(15/05,8000m),Smt(17/18,05)"
2006,S Col-SE Ridge,8850,"BC(14/04,5300m),C1(21/04,6000m),C2(01/05,6300m),C3(18/05,7000m),C4(19/05,7900m),Smt(20,24/05)"
2006,S Col-SE Ridge,8850,"Sherpas-BC(24/08),Mbrs-BC(09/09),C1(17/09,6000m),C2(01/10,6425m),C3(06/10,7315m),C4(17/10,7800m),Smt(18/10)"
2007,S Col-SE Ridge,8850,See route note descriptions for individual teams
2007,S Col-SE Ridge,8850,"BC(10/04,5364m),C1(14/04,6400m),C2(15/04,6700m),C3(09/05,7193m),C4(10/05,7925m),Smt(17/05)"
2007,S Col-SE Ridge,8850,"BC(11/04,5300m),C1(20/04,6000m),C2(25/04,6400m),C3(30/04,7100m),C4(15/05,8000m),Smt(16/05)"
2007,S Col-SE Ridge,8850,"BC(19/04,5300m),C1(21/04,6100m),C2(23/04,6500m),C3(02/05,7150m),C4(17/05,7920m),Smt(18/05)"
2007,S Col-SE Ridge,8850,"BC(21/04,5300m),C1(29/04,6000m),C2(09/05,6400m),C3(10/05,7130m),C4(20/05,7900m),Smt(21/05)"
2007,S Col-SE Ridge,8850,"BC(15/04,5200m),C1(20/04,6000m),C2(21/04,6500m),C3(30/04,7200m),C4(20/05,8000m),Smt(21/05)"
2007,S Col-SE Ridge,8850,"BC(28/04),C2(03/05,6400m),C4(15/05,7900m),Smt(16/05)"
2007,S Col-SE Ridge,8850,"BC(09/04,5400m),C1(12/04,5800m),C2(18/04,6300m),C3(02/05,7000m),C4(15/05,7900m),Smt(16/05)"
2007,S Col-SE Ridge,8850,"BC(10/04,5350m),C1(20/04,6500m),C2(08/05,7200m),C3(10/05,7900m),Smt(17/05)"
2007,S Col-SE Ridge,8850,"BC(08/04,5350m),C1(16/04,6100m),C2(24/04,6400m),C3(05/05,7150m),C4(21/05,7900m),Smt(22/05)"
